,aa,lr,svm,knn,rf,text,gold,bert
50748,Thesprotia,Αχαΐα,Αχαΐα,Αχαΐα,Σκύρος,"Όποιος δεν θρέφει γάτα, τρών' τα ποντίκια τα ρούχα του!",Αχαΐα,Αχαΐα
68327,Kefalinia,Κεφαλληνία,Κεφαλληνία,Κεφαλληνία,Κρήτη,"Του αγίου Νικολάου, που 'ν' τση γης και του πελάου",Κεφαλληνία,Κρήτη
102057,Kefalinia,Σκύρος,Σκύρος,Ανατολική Θράκη,Σκύρος,"Το γονικό δε χάνεται, μ' αλήθεια 'ν' πως πληθαίνει, γιατί γεννιέτ' ολημερζίς πεθαίνει",Σκύρος,Κρήτη
49686,Karpathos,Κάρπαθος,Κάρπαθος,Κάρπαθος,Αιτωλία,Με πορδαίς αυγά δε βάφουν,Αχαΐα,Ιωάννινα
32967,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Πόντος,"Ξέρεις τ' ειν να σε κρεμούν, και να σου λένε, πως υα να πλερώσης και τον μπόγια",Επτάνησος,Επτάνησος
602,Amorgos,Αμοργός,Αμοργός,Κεφαλληνία,Κύπρος,Των φρονίμων τα παιδιά πριν πεινασουν μαγερεύγουν,Εύβοια,Αμοργός
90952,Epirus,Ήπειρος,Ήπειρος,Ήπειρος,Ιωάννινα,Η ακρίβεια φέρ' κι η φτήνεια,Ιωάννινα,Ήπειρος
14854,Crete,Κρήτη,Κρήτη,Επτάνησος,Κρήτη,"Άσκημή μου, πιας να φάμε, κι όμορφή μου, τί να φάμε;",Νάξος,Κρήτη
14319,Crete,Κρήτη,Κρήτη,Κρήτη,Νάξος,Όπου ακούς πολλά κεράσια μικρό καλάθι βάστα,Λακωνία,Λακωνία
107052,Arcadia,Νάξος,Νάξος,Νάξος,Αρκαδία,Παίρνω μυρωδιά,Θράκη,Αρκαδία
110582,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Αμοργός,"Σκύλος που δε ξέρει να γαβγίσ', φέρενι τον λύκο συη μάντρα",Ανατολική Θράκη,Ανατολική Θράκη
95000,Pontos,Πόντος,Πόντος,Πόντος,Πόντος,"Εθέλεσες κ' επέθανες, τη γης χαράν εποίκες",Πόντος,Αμοργός
67703,Achaia,Αχαΐα,Αχαΐα,Αχαΐα,Αμοργός,"Σε ξένον πύργο, καρφί μην καρφώσης",Κεφαλληνία,Κεφαλληνία
70599,Etolia,Εύβοια,Αρκαδία,Αιτωλία,Επτάνησος,"Ούτι η μλιά φλάει ούλα τα μήλα, ούτι η μάννα τα παιδιά",Αιτωλία,Αιτωλία
79191,Rodos,Ρόδος,Ρόδος,Αμοργός,Αρκαδία,Κάθε νιος να δράμη θέλει,Κάρπαθος,Αμοργός
100905,Naxos,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Γίνη τ'νε στσ΄λιούνε,Σκύρος,Σκύρος
27893,Crete,Επτάνησος,Επτάνησος,Κρήτη,Αμοργός,"Όταν έχης φύλαγε, σαν δεν έχεις δούλευε",Θεσπρωτία,Κεφαλληνία
113191,Ioannina,Λέσβος,Λέσβος,Ιωάννινα,Αιτωλία,"Λαγός στο σακκί, να ιδώ τ' αυτί του",Αρκαδία,Ανατολική Θράκη
79370,Evia,Λέσβος,Αχαΐα,Αμοργός,Πόντος,Το καλόν απανωπίθι αλλ' απ' ούλα μέσα!,Κάρπαθος,Κάρπαθος
100731,Achaia,Αρκαδία,Αιτωλία,Λακωνία,Θράκη,Αε αλάργα νάρθειςγλήορα,Σκύρος,Κάρπαθος
12359,Karpathos,Ήπειρος,Ήπειρος,Θράκη,Ρόδος,Ηύρ' ο Γύφτος τη γεννιάν του και 'ναγάλλιασε η καρδιά του,Ρόδος,Αχαΐα
68798,Etolia,Αιτωλία,Αιτωλία,Αιτωλία,Αιτωλία,"Απ' τς πουλλές βουλές ουπ' πάει κουλουκύθ' σε βρύσ', κάπουτι θα 'ρθή τσακισμένου",Αιτωλία,Αιτωλία
90458,Crete,Κρήτη,Λακωνία,Αχαΐα,Λακωνία,Τα γέλια με τα κλάηματα ομάδι γεννηθήκα και πάλ' η πρίκα κ' η χαρά αντάμα αναθραφήκα,Κρήτη,Λακωνία
90753,Asia Minor,Αιτωλία,Αιτωλία,Αιτωλία,Ήπειρος,Γίδα ψουριάρα,Ιωάννινα,Αρκαδία
103969,Lesvos,Σκύρος,Κύπρος,Σκύρος,Σκύρος,Γυρέψεις μη δόσεις κλέψεως συγχωρήσεως,Μακεδονία,Ιωάννινα
109834,Naxos,Νάξος,Νάξος,Θεσπρωτία,Ανατολική Θράκη,"Θέλω ν' αγιάσω, μα δε μ' αφίνουν οι διαόλ'",Ανατολική Θράκη,Ιωάννινα
76713,Arcadia,Αμοργός,Αμοργός,Ανατολική Θράκη,Θράκη,Από κουκκί την γλύτωσα,Κεφαλληνία,Ανατολική Θράκη
109312,Arcadia,Αρκαδία,Αρκαδία,Αρκαδία,Ήπειρος,Άφκε γάμο και πήγε για προυνάρι,Ανατολική Θράκη,Θράκη
70193,Epirus,Αιτωλία,Αιτωλία,Αιτωλία,Αιτωλία,"Μούτι του σκλί θ' αγιάσ, μούτι η ικκλησιά θα μαγαρίσ'",Αιτωλία,Λέσβος
92027,Naxos,Νάξος,Νάξος,Νάξος,Κεφαλληνία,Αλοίς του που δεν έχει νύχια να ξυστή κι αναμένει να τόνε ξύσουν άλλοι,Νάξος,Νάξος
24998,Kefalinia,Ρόδος,Ρόδος,Μικρά Ασία,Πόντος,"Όσον θέλει ο παπάς τ' αλλουνού παπά καλό, τόσον να ψηθή τ' αυγό",Αμοργός,Αμοργός
71978,Arcadia,Κρήτη,Κρήτη,Αρκαδία,Κρήτη,Οντέ πλουτάς μη χαίρεσαι και οντέ φτωχάς μη κλαίγης,Κρήτη,Ιωάννινα
80177,Evia,Αμοργός,Αμοργός,Ήπειρος,Λακωνία,Μαύρα γεννήθηκα σκόενα θα πεθάνω,Θεσπρωτία,Λακωνία
79156,Karpathos,Σκύρος,Κάρπαθος,Κάρπαθος,Σκύρος,"Ελά 'πού τού παππού σου, τσαί συτσιά 'πού τού τσυρού σου τσαί κλήμα 'πό εκού σου",Κάρπαθος,Κάρπαθος
61341,Lesvos,Λέσβος,Λέσβος,Λέσβος,Λέσβος,Ήρτι στου αμίν τσι πάλι ξαναγύρσι,Λέσβος,Λέσβος
35932,Naxos,Επτάνησος,Επτάνησος,Μικρά Ασία,Επτάνησος,"Τι' ναν του πω τση μοίρας μου, σα λέω και δε μ' ακούει!",Επτάνησος,Επτάνησος
114546,Thesprotia,Μακεδονία,Μακεδονία,Ιωάννινα,Μακεδονία,"Όσο να γίν' τ' άρχοντα το κέφι, βγαίνει του φτωχού η ψυχή",Μακεδονία,Αχαΐα
67469,East Thrace,Αρκαδία,Ιωάννινα,Θράκη,Ανατολική Θράκη,Πέρσι ψόφ'σε λαγός και φέτος βρώμ'σε,Λέσβος,Ιωάννινα
96944,Arcadia,Ανατολική Θράκη,Θράκη,Ανατολική Θράκη,Θράκη,Μη γυρεύεις γαμπρό πε τα μάτια,Θράκη,Θράκη
69807,Ioannina,Αιτωλία,Αιτωλία,Ιωάννινα,Κύπρος,Κάλλιου σκύλ' απού τήγ Κρήτ' μπέρι φίλου Κραβαρίτ',Αιτωλία,Ήπειρος
68729,Etolia,Λέσβος,Αιτωλία,Λέσβος,Ιωάννινα,"Αλλ' απ' του γιακά, αλλ' απ' τα πουδάρια τ' αρπάζ' τα λόϊα",Αιτωλία,Μακεδονία
68728,Lesvos,Αιτωλία,Αιτωλία,Αιτωλία,Αιτωλία,Αλιά πολ' π' απ' του γάμου,Αιτωλία,Λέσβος
115354,Karpathos,Σκύρος,Κάρπαθος,Ρόδος,Σκύρος,Αλλού καλόγηρος τσ' αλλού τα ράσα του,Εύβοια,Κάρπαθος
65422,Asia Minor,Επτάνησος,Ανατολική Θράκη,Θεσπρωτία,Κεφαλληνία,"Από Χριστου κ' εδώ, κάθε προφήτης, γάϊδαρος",Κεφαλληνία,Κεφαλληνία
100344,Maced.,Μακεδονία,Μακεδονία,Αρκαδία,Λέσβος,"Πέρσι έκλασε, φέτος βρώμισε",Θεσπρωτία,Μακεδονία
47179,Achaia,Αχαΐα,Αχαΐα,Θεσπρωτία,Ρόδος,Βάφεται και γίνεται 'σαν του κοράκου το φτερό!,Αχαΐα,Αχαΐα
98596,Rodos,Ανατολική Θράκη,Ανατολική Θράκη,Αρκαδία,Αμοργός,"Πήρε η κάτα το μποτκό να τον μάθει γράμματα, τον έμαθε τον ξέμαθε στόχσε και τον έφαγε",Θράκη,Εύβοια
88198,Maced.,Μακεδονία,Ιωάννινα,Μακεδονία,Πόντος,"Στάχτη έδωκα, κάρβουνα επήρα",Λακωνία,Θράκη
65707,Maced.,Μακεδονία,Επτάνησος,Επτάνησος,Αιτωλία,Δικονάρια να 'χή το μοναστήρι κι απέ καλογήρους τίποτε άλλο!,Κεφαλληνία,Αχαΐα
89481,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Του τραβά από τη μύτη του,Λακωνία,Ανατολική Θράκη
103999,East Thrace,Αιτωλία,Λακωνία,Επτάνησος,Αμοργός,Ήρθαν τάγρια να διώξουν τα ήμιρα,Μακεδονία,Αρκαδία
99106,Epirus,Αιτωλία,Αιτωλία,Επτάνησος,Αιτωλία,Η αρχή είν' το ήμισυ του παντός,Ιωάννινα,Κεφαλληνία
113149,Achaia,Κεφαλληνία,Αχαΐα,Αχαΐα,Λέσβος,"Η γουρούνα αγάλια, αγάλια, τα γουρουνόπουλα πουλάλα, ίσια μπαίνουν στο κουμάσι",Αρκαδία,Κεφαλληνία
101859,Arcadia,Αρκαδία,Αρκαδία,Αιτωλία,Ανατολική Θράκη,"Σά δέν έχ΄ς άλογο, πάρε ένα γαϊδούρι",Σκύρος,Ιωάννινα
75728,East Thrace,Αρκαδία,Ανατολική Θράκη,Ανατολική Θράκη,Κάρπαθος,Επήγε για μαμμή κι εκά(θ)ισε για λουχού,Κάρπαθος,Ρόδος
106392,Laconia,Λακωνία,Λακωνία,Λακωνία,Αιτωλία,Θα μου κλάσης τ' αυγά του γκιώνη μου,Αρκαδία,Λακωνία
115956,Maced.,Αιτωλία,Θράκη,Αχαΐα,Αιτωλία,Αυτός έχ' το κεφάλι τ' στο ντουρβά,Μικρά Ασία,Μακεδονία
68592,Kefalinia,Ιωάννινα,Ιωάννινα,Αιτωλία,Σκύρος,"Ωχ αγάπη μου κουλοτσ' θόπιττα, σ' είδα ψες κι κουλοκόπ' κα",Λέσβος,Ιωάννινα
40261,Epirus,Ήπειρος,Ήπειρος,Λακωνία,Κεφαλληνία,Της καλύτερης προβατίνας κρεμούν τα κουδούνια,Αρκαδία,Ανατολική Θράκη
97985,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,Κάλγκιον να βγκη το μμάτισ σου παρά τ' όνομάσ σου,Ρόδος,Κύπρος
114074,Etolia,Αιτωλία,Ανατολική Θράκη,Πόντος,Λέσβος,Έχ' η γούνα του ράμματα,Μακεδονία,Ανατολική Θράκη
56694,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,Γιατρού μαμμούς τζαι ράφτενας μεμ πής τηγ γνώμησ σου,Κύπρος,Κύπρος
30520,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Επτάνησος,"Από βραδύς καλά, και την αυγή τρεχάλα!",Επτάνησος,Αχαΐα
116414,Rodos,Ρόδος,Κρήτη,Ρόδος,Κρήτη,"Απού θέλει να πηδήξη, πρέπει και να συντηρήξη",Κρήτη,Κρήτη
102035,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Της κατσής ψ... τσαι τα μαλλιά τση φταίνε,Σκύρος,Κάρπαθος
110829,Asia Minor,Πόντος,Πόντος,Αρκαδία,Αρκαδία,Τον έκανε πέντε παραδιώ,Ανατολική Θράκη,Ανατολική Θράκη
99967,Crete,Αρκαδία,Κρήτη,Αχαΐα,Αμοργός,Δεν σ' αγαπάει η πεθερά σου,Θεσπρωτία,Αρκαδία
84803,Rodos,Αμοργός,Αμοργός,Αμοργός,Λακωνία,"Κάμε ότι πρέπει κι' ας γίνη ό,τι θέλει",Λακωνία,Κεφαλληνία
29477,Evia,Επτάνησος,Επτάνησος,Επτάνησος,Επτάνησος,"Ά δεν είμαστ΄ ούχοι όμοιοι, πρώτος νόμος είν΄ ο γρόθος",Επτάνησος,Επτάνησος
85015,Ioannina,Ήπειρος,Ήπειρος,Ήπειρος,Ρόδος,Καιρός για φίλου σπίτι,Λακωνία,Εύβοια
118621,Rodos,Θράκη,Θράκη,Θράκη,Θράκη,Ποντέ γυρίσνα οι Οβριοί πέ το θέρο,Θράκη,Θράκη
15933,Naxos,Επτάνησος,Νάξος,Επτάνησος,Νάξος,Λόος π' ακουστή ψοματινός δεν είναι,Νάξος,Νάξος
42508,Thrace,Επτάνησος,Κεφαλληνία,Κεφαλληνία,Επτάνησος,"Δεν είσαι ξένη του σπιτιού, είναι π' αποξενεύεσαι",Κεφαλληνία,Κεφαλληνία
55219,Thrace,Θράκη,Θράκη,Πόντος,Μακεδονία,Ο γάιδαρος 'ς τη σέλα,Κρήτη,Θράκη
25531,Rodos,Ρόδος,Ρόδος,Σκύρος,Πόντος,Πολλές πολλές σουβλιές και μιαν καλαποδιά,Αμοργός,Αμοργός
106664,Arcadia,Ήπειρος,Αρκαδία,Ήπειρος,Πόντος,Τον έκανα να πη το Πάτερ ημών εννιά φορές απ' έξω,Αρκαδία,Αρκαδία
114654,Achaia,Μακεδονία,Μακεδονία,Μακεδονία,Ρόδος,Πήρες τον Θεό 'πο το κεφάλι σου,Μακεδονία,Μακεδονία
101158,Kefalinia,Κεφαλληνία,Κεφαλληνία,Κεφαλληνία,Πόντος,"Η γιωμορφιά στον άθρωπο μεγάλη παρουσία, ωσάν το πολυέλαιο μέσα στην εκκλησία",Σκύρος,Κεφαλληνία
48941,Evia,Ρόδος,Ρόδος,Εύβοια,Ρόδος,Κ' εγώ κακά 'παντρεύτηκα κι' όπου με πηρ' ας κλαίη!,Αχαΐα,Αχαΐα
12861,Lesvos,Αμοργός,Αχαΐα,Μικρά Ασία,Αμοργός,"Όπου πόρτα πόρτα της, κι' όπου αυλή δική της",Ρόδος,Αμοργός
20391,Amorgos,Επτάνησος,Αμοργός,Επτάνησος,Επτάνησος,"Αν είναι μήλον θα μυρίση, κι' αν είναι πορδή, θα βρωμήση",Αμοργός,Αμοργός
12388,East Thrace,Νάξος,Ιωάννινα,Ιωάννινα,Νάξος,"Θελόντας ο Βλάχος και μη θέλοντας ο ζωγράφος, φόρεσε, Χριστέ μου κόκκινα παπούτσα",Ρόδος,Ανατολική Θράκη
89365,East Thrace,Ήπειρος,Ήπειρος,Ανατολική Θράκη,Λακωνία,Του εβάρεσε στο κόκκαλο,Λακωνία,Αρκαδία
50976,Heptanese,Επτάνησος,Επτάνησος,Αρκαδία,Αχαΐα,"Όπου κρυφά παντρεύεται, φανερά πομπεύεται!",Αχαΐα,Αχαΐα
102183,Karpathos,Σκύρος,Σκύρος,Κύπρος,Σκύρος,"Τσυρζατσής χαρά, Δευτέρας θλίψι",Σκύρος,Σκύρος
387,Evia,Κάρπαθος,Αρκαδία,Κάρπαθος,Νάξος,Η α' σημη έχει ριζικό κι' η ακαμάτρα μοίρα,Εύβοια,Αρκαδία
109670,Epirus,Κεφαλληνία,Αμοργός,Ανατολική Θράκη,Ιωάννινα,Έχει τ' αλεύρι απλωμένο,Ανατολική Θράκη,Αρκαδία
101323,Lesvos,Αιτωλία,Αιτωλία,Κεφαλληνία,Αιτωλία,Κούρακας κουράκου μάτ' δε βγάνει,Σκύρος,Εύβοια
67803,Achaia,Επτάνησος,Αχαΐα,Ρόδος,Επτάνησος,"Στον ξένον τόπο, ξένε μου, κάνε και συ όπως κάνουν",Κεφαλληνία,Επτάνησος
45855,Kefalinia,Κρήτη,Κρήτη,Ανατολική Θράκη,Αμοργός,Άλλη μάννα δεν έκαμε παρά η Μαργιά το Γιάννη,Αχαΐα,Κρήτη
52060,Thesprotia,Εύβοια,Κεφαλληνία,Ανατολική Θράκη,Ανατολική Θράκη,Τα μάτια του πετάνε σπίθαις,Αχαΐα,Ανατολική Θράκη
8705,Amorgos,Ήπειρος,Νάξος,Νάξος,Λακωνία,Το γρόθο στο μαχαίρι,Ήπειρος,Θράκη
20369,Amorgos,Αμοργός,Αμοργός,Θεσπρωτία,Επτάνησος,"Αν δεν ξοδιάσης, δεν σοδιάζεις",Αμοργός,Αμοργός
42072,Epirus,Ιωάννινα,Ιωάννινα,Νάξος,Λακωνία,Του καλού ανδρός τ' αλεύρι λαλαγγίτες και κουλούρες,Ιωάννινα,Κεφαλληνία
78010,Pontos,Πόντος,Πόντος,Πόντος,Πόντος,"Αν έζησες, έζησες κι αν κ' έζησες απ' εκεί πλάν' χωρίον κ' εν",Πόντος,Πόντος
113928,Maced.,Μακεδονία,Μακεδονία,Μακεδονία,Μακεδονία,Ας με πουν Κυρά Μπεΐνα κ' ας πεθάνω 'πο την πείνα,Μακεδονία,Εύβοια
38556,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,"Εδούλεψα κι έφαγα, ευχαριστώ τα χέρια μου",Αρκαδία,Αμοργός
16797,Naxos,Νάξος,Νάξος,Νάξος,Νάξος,Που βαστά καλά βαστά,Νάξος,Νάξος
61451,Kefalinia,Θεσπρωτία,Κεφαλληνία,Κρήτη,Αμοργός,Δυό σπασμένοι νικάν τον αντρειωμένονε,Αρκαδία,Κρήτη
64748,Crete,Αχαΐα,Λακωνία,Επτάνησος,Νάξος,Το διακονίκι είναι βασιλίκι,Κρήτη,Εύβοια
109264,Thesprotia,Αμοργός,Επτάνησος,Επτάνησος,Αμοργός,Άλλος αρέσει τον παππά κι' άλλος την παππαδιά,Ανατολική Θράκη,Θεσπρωτία
88506,Thrace,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Τα μακαρόνια κι ο γάμος χρειάζονται ζεστά,Λακωνία,Εύβοια
30574,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Αμοργός,Από πράμμα βέβαιο δεν είν' όξ' ο θάνατος,Επτάνησος,Κεφαλληνία
1513,Karpathos,Ήπειρος,Κάρπαθος,Κάρπαθος,Πόντος,Χαρά 'ς ν  γκαρδιά σ'!,Ήπειρος,Αιτωλία
87768,Epirus,Αρκαδία,Αρκαδία,Ήπειρος,Αρκαδία,Ποιος έχιε τα γρόσια στο σακκί έχει τη γνώση όλη,Λακωνία,Ρόδος
115755,Laconia,Κάρπαθος,Λακωνία,Κάρπαθος,Θράκη,Κοντά 'ς το νου κ' η γνώση,Μικρά Ασία,Κεφαλληνία
848,Lesvos,Λέσβος,Λέσβος,Επτάνησος,Λέσβος,Οι γναίτσις χαλούν τσι οι γναίτσις κάνιν τς ανθρώπ΄,Λέσβος,Λέσβος
24507,Evia,Νάξος,Εύβοια,Αμοργός,Νάξος,Ο οκνιάρης είν΄ κι΄ υπνιάρης,Αμοργός,Ρόδος
51000,Maced.,Μικρά Ασία,Ρόδος,Πόντος,Κρήτη,Όπου φτύνουν πολλοί γίνεται λίμνα,Αχαΐα,Λακωνία
100036,Laconia,Κρήτη,Θράκη,Κρήτη,Κρήτη,"Ζίτσα και Καρίτσα, Ψυχή μου Ραδοτόβι...Νάτανε και η Ζέλοβα πουτανοχώρι...",Θεσπρωτία,Κρήτη
83175,Kefalinia,Ρόδος,Ρόδος,Αχαΐα,Αμοργός,Δυο χρονών το παιδί μας κι' έλεγε τον λύχνο μύχο,Λακωνία,Ανατολική Θράκη
51109,Epirus,Θεσπρωτία,Μακεδονία,Αιτωλία,Κύπρος,"Όταν ο κασσιδιάρης κάμη μαλλιά, χάμου δέμ πατάει",Αχαΐα,Αχαΐα
43583,Kefalinia,Λακωνία,Κεφαλληνία,Κεφαλληνία,Κύπρος,Κάλλιο το σκεπασμένο τζουκάλι παρά το ξέσκεπο,Επτάνησος,Κεφαλληνία
5399,Epirus,Επτάνησος,Ήπειρος,Επτάνησος,Αρκαδία,Έχει ο αφέντης αφέντη,Κεφαλληνία,Λακωνία
105506,Thrace,Αμοργός,Αμοργός,Αμοργός,Αμοργός,Τον άφηκεν γρούλιον,Αρκαδία,Αμοργός
55167,East Thrace,Αμοργός,Ανατολική Θράκη,Αιτωλία,Ανατολική Θράκη,"Με την αράδα σου θα πάς, αν είσαι και παπάς",Κρήτη,Ανατολική Θράκη
38358,Evia,Εύβοια,Εύβοια,Λακωνία,Εύβοια,Δός μου αγέρα καί μέτρα μίλια,Αρκαδία,Αμοργός
100152,Laconia,Λακωνία,Λακωνία,Λακωνία,Θεσπρωτία,Λέγε – λέγε το κοπέλι κάνει την κυρά και θέλει,Θεσπρωτία,Θεσπρωτία
11951,Rodos,Ρόδος,Ρόδος,Αμοργός,Κύπρος,"Απήανο κι αλάβανο κι άλλον εν βοτάνο, να το 'ξέραν οι κοπέλες ποτέ κακό δεν επαθθαίναν",Ρόδος,Ρόδος
39091,Naxos,Νάξος,Νάξος,Νάξος,Αρκαδία,Κατά που βλέπεις μαθάνεις,Αρκαδία,Νάξος
21514,Heptanese,Επτάνησος,Επτάνησος,Αμοργός,Αχαΐα,"Ένας, καένας!",Αμοργός,Σκύρος
81575,Epirus,Ήπειρος,Ήπειρος,Ήπειρος,Αιτωλία,Κάλλια τ' αρχίδια του γαμβρού παρά τα μάτια του παιδιού,Ήπειρος,Ιωάννινα
41266,Thesprotia,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Αιτωλία,Ο φαγάς στην ώρα του κι ακριβός ούτε καθόλου,Νάξος,Αχαΐα
46802,Arcadia,Αχαΐα,Αχαΐα,Αχαΐα,Αχαΐα,Αυτός είναι για τον άλυσο,Αχαΐα,Αχαΐα
63439,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Κάνεις το λογαριασμό χωρίς τον ξενοδόχο,Κρήτη,Ανατολική Θράκη
96746,Epirus,Μακεδονία,Μακεδονία,Μακεδονία,Λέσβος,"Ποιός έχ' τη μύγα, μυγιάζιτι",Μακεδονία,Σκύρος
86533,Cyprus,Κάρπαθος,Κάρπαθος,Αρκαδία,Ρόδος,"Ο πλούσιος που παρακαλεί τό θεό, κακό έχει ς το νου του",Λακωνία,Κεφαλληνία
109880,Thrace,Θράκη,Αμοργός,Εύβοια,Θράκη,Κάνει τον άγιο Ονούφριο,Ανατολική Θράκη,Θράκη
46831,Achaia,Αχαΐα,Αχαΐα,Αχαΐα,Αχαΐα,Αυτός είναι Ιούδας ο προδόττης και δόλιος,Αχαΐα,Αχαΐα
48595,Epirus,Ήπειρος,Λέσβος,Ιωάννινα,Νάξος,Η Θοδωρούλα 'σήκωσε κόκκινο μπαϊράκι,Αχαΐα,Αχαΐα
105722,Laconia,Λακωνία,Λακωνία,Κεφαλληνία,Αρκαδία,Ε καλά μόσκασε η κοιλιά,Ήπειρος,Εύβοια
106458,Achaia,Κεφαλληνία,Θεσπρωτία,Επτάνησος,Λέσβος,Μας πουλάει όλους για μισού παρά λεμπεμπλιά,Αρκαδία,Θράκη
114835,Thesprotia,Κεφαλληνία,Κρήτη,Κεφαλληνία,Αρκαδία,Το μεθυσμένο μη σκουντάς θα πέση μοναχός του,Μακεδονία,Λακωνία
48678,Kefalinia,Αρκαδία,Αρκαδία,Κεφαλληνία,Αχαΐα,Η παντρειά είναι σκλαβιά!,Αχαΐα,Αχαΐα
109624,Heptanese,Κάρπαθος,Κάρπαθος,Κεφαλληνία,Κεφαλληνία,Έκαμε κουμπάρα τή δουλειά,Ανατολική Θράκη,Αρκαδία
34120,Evia,Εύβοια,Επτάνησος,Επτάνησος,Σκύρος,Οι κουτοί βαστούνε τσου έξυπνους,Επτάνησος,Κεφαλληνία
61328,Asia Minor,Αιτωλία,Σκύρος,Κύπρος,Λέσβος,Άθριπους αγράμματους ξύλου απελέτσητου,Λέσβος,Λέσβος
4184,Thrace,Θράκη,Κάρπαθος,Μικρά Ασία,Αρκαδία,Τοξώνω τηρ ράσιαν,Πόντος,Κύπρος
18095,Arcadia,Νάξος,Εύβοια,Εύβοια,Νάξος,Ένα χρόνο κι' ένα μήνα έγνεθ' ένα 'δράχτι νήμα τι 'βανε και στο ραφάκι το 'φαγε τι ποντικάκι,Θράκη,Λακωνία
58717,Ioannina,Κύπρος,Κύπρος,Κύπρος,Κύπρος,"Οι πόρτες εγ για ναβ βαδωμένες, τζαι τα παραθύρκα ανοιχτά",Κύπρος,Κύπρος
68784,Kefalinia,Λέσβος,Λέσβος,Σκύρος,Αιτωλία,Απ' τα ίδια πάστα είνι,Αιτωλία,Αιτωλία
15406,Rodos,Νάξος,Νάξος,Λακωνία,Θεσπρωτία,"Εώ σου λέω να κάμης χίλια πρόβατα (ή: ζα), εσύ δεν θες; ... νοργιά (ή: τρίχα) (ή: τρίχα να μην απολάψης)",Νάξος,Νάξος
63233,Laconia,Νάξος,Νάξος,Νάξος,Νάξος,Η ζούλια νά 'τανε ψώρα θα κολλούσεν όλη η χώρα,Μικρά Ασία,Αμοργός
55696,Crete,Σκύρος,Σκύρος,Θεσπρωτία,Σκύρος,Άνεμος στα πίσω σου τσαί δαυλός στον κώλο σου,Κύπρος,Κάρπαθος
106049,Epirus,Θράκη,Θράκη,Επτάνησος,Πόντος,Σάματ θά να βγάνω το χσό το δόντι,Ήπειρος,Εύβοια
67416,Thesprotia,Ανατολική Θράκη,Θεσπρωτία,Ανατολική Θράκη,Θεσπρωτία,"Πάντρεψέ με μακριά, να ξέρω να παινιώμαι",Κεφαλληνία,Θεσπρωτία
15876,Naxos,Νάξος,Νάξος,Νάξος,Νάξος,Κι' εσύ κακό χειρόβολο κι' εω κακό δεμάτι,Νάξος,Νάξος
840,Lesvos,Λέσβος,Λέσβος,Μικρά Ασία,Λέσβος,"Όποιος δεν έχ' γέρου, γέρουν αγοράζ'",Λέσβος,Ιωάννινα
106511,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Αρκαδία,Ο παππάς παππά δε θέλει,Αρκαδία,Εύβοια
1450,Lesvos,Ιωάννινα,Επτάνησος,Ιωάννινα,Ιωάννινα,Τα ήθελες κι τα ήθελα,Ήπειρος,Μικρά Ασία
76460,Etolia,Αρκαδία,Αιτωλία,Αιτωλία,Αρκαδία,Δεν έχει κούνναν μυαλόν,Κάρπαθος,Αμοργός
100070,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Ήπειρος,Αρκαδία,Κάθε μέρα Πασχαλιά;,Θεσπρωτία,Ανατολική Θράκη
11902,Ioannina,Ιωάννινα,Ιωάννινα,Ιωάννινα,Αρκαδία,Αγέρα κοπανίζει,Ρόδος,Ιωάννινα
96972,Asia Minor,Θράκη,Μικρά Ασία,Κύπρος,Κύπρος,"Παλαμίδα σε μυρίζει, ντειμεντέν να φας κολοιό",Θράκη,Μικρά Ασία
69359,Etolia,Αιτωλία,Αιτωλία,Λέσβος,Αιτωλία,Έχου πουλλά μαζουμένα,Αιτωλία,Ιωάννινα
76677,Arcadia,Ρόδος,Κάρπαθος,Επτάνησος,Κάρπαθος,Ως τα που να 'σαι λεύτερη θ' αστράφτουν οι ποδιές σου να παντρευτής να γκαστρωθείς να (δ)ω τις ομορφιές σου,Κάρπαθος,Ρόδος
101064,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Έπαν του τρελλού να χέσει τσ' έκατσε τσαί ξεκολώθη!,Σκύρος,Σκύρος
